Medium Danceability,Low Energy,D,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,F,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Medium Danceability,High Energy,C,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,F,Loud,MinorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,F,Loud,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A,Soft,MajorModality,Less Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,High Energy,F,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,Low Energy,C,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,High Energy,G,Soft,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,D#,Loud,MinorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Low Danceability,Low Energy,G#,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,Low Energy,C,Loud,MajorModality,Less Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Low Tempo
Low Danceability,Low Energy,E,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,High Tempo
Medium Danceability,Low Energy,G,Loud,MajorModality,Less Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
High Danceability,Low Energy,C,Loud,MajorModality,More Vocal,Low Acousticness,High Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,Low Energy,A#,Soft,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,Low Energy,D,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
High Danceability,High Energy,G,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A#,Loud,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
High Danceability,High Energy,B,Soft,MajorModality,Music & Speech,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A#,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,A#,Loud,MajorModality,Less Vocal,High Acousticness,High Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,Low Energy,C,Loud,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Sad,Medium Tempo
Medium Danceability,Low Energy,E,Loud,MajorModality,Music & Speech,High Acousticness,Low Instrumentalness,No Audience,Sad,Low Tempo
Medium Danceability,Low Energy,B,Loud,MinorModality,More Vocal,Medium Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,D,Soft,MajorModality,More Vocal,High Acousticness,Low Instrumentalness,No Audience,Cheerful,High Tempo
Medium Danceability,Low Energy,G#,Loud,MinorModality,More Vocal,Low Acousticness,Low Instrumentalness,No Audience,Cheerful,Medium Tempo
Medium Danceability,High Energy,F#,Soft,MajorModality,More Vocal,Medium Acousticness,Low Instrumentalness,Live Audience,Cheerful,High Tempo
